Name,Type,Description
Hot-hand fallacy,Logical fallacy,"The ""hot-hand fallacy"" (also known as the ""hot hand phenomenon"" or ""hot hand"") is the belief that a person who has experienced success with a random event has a greater chance of further success in additional attempts."
Hyperbolic discounting,Extension neglect,"Discounting is the tendency for people to have a stronger preference for more immediate payoffs relative to later payoffs. Hyperbolic discounting leads to choices that are inconsistent over time – people make choices today that their future selves would prefer not to have made, despite using the same reasoning.[59] Also known as current moment bias, present-bias, and related to Dynamic inconsistency. A good example of this: a study showed that when making food choices for the coming week, 74% of participants chose fruit, whereas when the food choice was for the current day, 70% chose chocolate."
IKEA effect,,"The tendency for people to place a disproportionately high value on objects that they partially assembled themselves, such as furniture from IKEA, regardless of the quality of the end product.[60]"
Illicit transference,Logical fallacy,Occurs when a term in the distributive (referring to every member of a class) and collective (referring to the class itself as a whole) sense are treated as equivalent. The two variants of this fallacy are the fallacy of composition and the fallacy of division.
Illusion of control,Egocentric bias,The tendency to overestimate one's degree of influence over other external events.[61]
Illusion of validity,Egocentric bias,"Overestimating the accurracy of one's judgments, especially when available information is consistent or inter-correlated.[62]"
Illusory correlation,Apophenia,Inaccurately perceiving a relationship between two unrelated events.[63][64]
Illusory truth effect,Truthiness,"A tendency to believe that a statement is true if it is easier to process, or if it has been stated multiple times, regardless of its actual veracity. These are specific cases of truthiness."
Impact bias,,The tendency to overestimate the length or the intensity of the impact of future feeling states.[65]
Implicit association,Availability bias,The speed with which people can match words depends on how closely they are associated.
Information bias,,The tendency to seek information even when it cannot affect action.[66]
Insensitivity to sample size,Extension neglect,The tendency to under-expect variation in small samples.
Interoceptive bias,,"The tendency for sensory input about the body itself to affect one's judgement about external, unrelated circumstances. (As for example, in parole judges who are more lenient when fed and rested.) [67][68][69][70]"
Irrational escalation orEscalation of commitment,Logical fallacy,"The phenomenon where people justify increased investment in a decision, based on the cumulative prior investment, despite new evidence suggesting that the decision was probably wrong. Also known as the sunk cost fallacy."
Law of the instrument,Anchoring bias,"An over-reliance on a familiar tool or methods, ignoring or under-valuing alternative approaches. ""If all you have is a hammer, everything looks like a nail."""
Less-is-better effect,Extension neglect,"The tendency to prefer a smaller set to a larger set judged separately, but not jointly."
Loss aversion,Prospect theory,The perceived disutility of giving up an object is greater than the utility associated with acquiring it.[71] (see also Sunk cost effects and endowment effect).
Mere exposure effect,Familiarity principle,The tendency to express undue liking for things merely because of familiarity with them.[72]
Money illusion,,The tendency to concentrate on the nominal value (face value) of money rather than its value in terms of purchasing power.[73]
Moral credential effect,,Occurs when someone who does something good gives themselves permission to be less good in the future.
Neglect of probability,Extension neglect,The tendency to completely disregard probability when making a decision under uncertainty.[74]
Non-adaptive choice switching[75],,"After experiencing a bad outcome with a decision problem, the tendency to avoid the choice previously made when faced with the same decision problem again, even though the choice was optimal. Also known as ""once bitten, twice shy"" or ""hot stove effect""."
Normalcy bias,Cognitive dissonance,"The refusal to plan for, or react to, a disaster which has never happened before."
Observer-expectancy effect,Confirmation bias,When a researcher expects a given result and therefore unconsciously manipulates an experiment or misinterprets data in order to find it (see also subject-expectancy effect).
Omission bias,,"The tendency to judge harmful actions (commissions) as worse, or less moral, than equally harmful inactions (omissions).[76]"
Optimism bias,,"The tendency to be over-optimistic, underestimating greatly the probability of undesirable outcomes and overestimating favorable and pleasing outcomes (see also wishful thinking, valence effect, positive outcome bias).[77][78]"
Ostrich effect,,Ignoring an obvious (negative) situation.
Outcome bias,,The tendency to judge a decision by its eventual outcome instead of based on the quality of the decision at the time it was made.
Overconfidence effect,Egocentric bias,"Excessive confidence in one's own answers to questions. For example, for certain types of questions, answers that people rate as ""99% certain"" turn out to be wrong 40% of the time.[6][79][80][81]"
Pareidolia,Apophenia,"A vague and random stimulus (often an image or sound) is perceived as significant, e.g., seeing images of animals or faces in clouds, the man in the moon, and hearing non-existent hidden messages on records played in reverse."
Pessimism bias,,"The tendency for some people, especially those suffering from depression, to overestimate the likelihood of negative things happening to them."
Plan continuation bias,Logical fallacy,Failure to recognize that the original plan of action is no longer appropriate for a changing situation or for a situation that is different than anticipated.[82]
Planning fallacy,Egocentric bias,The tendency to underestimate one's own task-completion times.[65]
Present bias,,The tendency of people to give stronger weight to payoffs that are closer to the present time when considering trade-offs between two future moments.[83]
Plant blindness,,The tendency to ignore plants in their environment and a failure to recognize and appreciate the utility of plants to life on earth.[84]
Probability matching,,Sub-optimal matching of the probability of choices with the probability of reward in a stochastic context.
Pro-innovation bias,,"The tendency to have an excessive optimism towards an invention or innovation's usefulness throughout society, while often failing to identify its limitations and weaknesses."
Projection bias,,"The tendency to overestimate how much our future selves share one's current preferences, thoughts and values, thus leading to sub-optimal choices.[85][86][87]"
Proportionality Bias,,"Our innate tendency to assume that big events have big causes, may also explain our tendency to accept conspiracy theories.[88][89]"
Pseudocertainty effect,Prospect theory,"The tendency to make risk-averse choices if the expected outcome is positive, but make risk-seeking choices to avoid negative outcomes.[90]"
Recency illusion,,"The illusion that a phenomenon one has noticed only recently is itself recent. Often used to refer to linguistic phenomena; the illusion that a word or language usage that one has noticed only recently is an innovation when it is, in fact, long-established (see also frequency illusion)."
Systematic Bias,,Judgement that arises when targets of differentiating judgement become subject to effects of regression that are not equivalent.[91]
Restraint bias,Egocentric bias,The tendency to overestimate one's ability to show restraint in the face of temptation.
Rhyme as reason effect,Truthiness,"Rhyming statements are perceived as more truthful. A famous example being used in the O.J Simpson trial with the defense's use of the phrase ""If the gloves don't fit, then you must acquit."""
Risk compensation / Peltzman effect,,The tendency to take greater risks when perceived safety increases.
Salience bias,Availability bias,"The tendency to focus on items that are more prominent or emotionally striking and ignore those that are unremarkable, even though this difference is often irrelevant by objective standards."
Scope neglect orscope insensitivity,Extension neglect,"The tendency to be insensitive to the size of a problem when evaluating it. For example, being willing to pay as much to save 2,000 children or 20,000 children"
Selection bias,Availability bias,"The tendency to notice something more when something causes us to be more aware of it, such as when we buy a car, we tend to notice similar cars more often than we did before. They are not suddenly more common – we just are noticing them more. Also called the Observational Selection Bias."
Selective perception,Confirmation bias,The tendency for expectations to affect perception.
Semmelweis reflex,Confirmation bias,The tendency to reject new evidence that contradicts a paradigm.[28]
Status quo bias,Prospect theory,"The tendency to like things to stay relatively the same (see also loss aversion, endowment effect, and system justification).[92][93]"
Stereotyping,False priors,Expecting a member of a group to have certain characteristics without having actual information about that individual.
Subadditivity effect,Logical fallacy,The tendency to judge the probability of the whole to be less than the probabilities of the parts.[94]
Subjective validation,Truthiness,Perception that something is true if a subject's belief demands it to be true. Also assigns perceived connections between coincidences.
Surrogation,,"Losing sight of the strategic construct that a measure is intended to represent, and subsequently acting as though the measure is the construct of interest."
Survivorship bias,Availability bias,"Concentrating on the people or things that ""survived"" some process and inadvertently overlooking those that didn't because of their lack of visibility."
System justification,Prospect theory,"The tendency to defend and bolster the status quo. Existing social, economic, and political arrangements tend to be preferred, and alternatives disparaged, sometimes even at the expense of individual and collective self-interest. (See also status quo bias.)"
Time-saving bias,Logical fallacy,Underestimations of the time that could be saved (or lost) when increasing (or decreasing) from a relatively low speed and overestimations of the time that could be saved (or lost) when increasing (or decreasing) from a relatively high speed.
Parkinson's law of triviality,,"The tendency to give disproportionate weight to trivial issues. Also known as bikeshedding, this bias explains why an organization may avoid specialized or complex subjects, such as the design of a nuclear reactor, and instead focus on something easy to grasp or rewarding to the average participant, such as the design of an adjacent bike shed.[95]"
Unconscious bias,,"Also known as implicit biases, are the underlying attitudes and stereotypes that people unconsciously attribute to another person or group of people that affect how they understand and engage with them. Many researchers suggest that unconscious bias occurs automatically as the brain makes quick judgments based on past experiences and background.[96]"
Unit bias,,"The standard suggested amount of consumption (e.g., food serving size) is perceived to be appropriate, and a person would consume it all even if it is too much for this particular person.[97]"
Weber–Fechner law,,Difficulty in comparing small differences in large quantities.
Well travelled road effect,Availability bias,Underestimation of the duration taken to traverse oft-travelled routes and overestimation of the duration taken to traverse less familiar routes.
Women are wonderful effect,,A tendency to associate more positive attributes with women than with men.
Zero-risk bias,Extension neglect,Preference for reducing a small risk to zero over a greater reduction in a larger risk.
Zero-sum bias,Logical fallacy,"A bias whereby a situation is incorrectly perceived to be like a zero-sum game (i.e., one person gains at the expense of another)."
